id,address_type,status,entity,adress,appartment,city,postal_code,country,notes,created_at,updated_at
1,Billing,Active,Customer,100 Avenue des Commandeurs,Levis,G6V 6P8,Canada,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",7/7/2017,8/1/2018
2,Home,Active,Customer,75 Rene-Levesque Ouest,Montreal,H2Z1A4,Canada,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",12/26/2016,11/9/2018
3,Home,Active,Customer,800 Rene-Levesque Ouest,Montreal,H3B1Y8,Canada,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",3/7/2017,5/23/2018
4,Home,Active,Customer,1 Alexandre Graham Bell,Montreal,H3E3B3,Canada,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,12/31/2016,6/6/2018
5,Shipping,Active,Customer,612 St-Jacques,Montreal,H3C4M8,Canada,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",9/16/2016,8/9/2018
6,Home,Inactive,Customer,2500 Daniel Johnson,Laval,H7T2P6,Canada,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2/16/2019,5/9/2018
7,Home,Active,Building,1350 Rene-Levesque Ouest,Montreal,H3G1T4,Canada,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",6/23/2017,7/2/2018
8,Home,Inactive,Building,5355 des Gradins,Quebec,G2J1C8,Canada,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",12/3/2018,10/10/2018
9,Billing,Active,Customer,625 Jacques Parizeau,Quebec,G1R2G5,Canada,Sed ante. Vivamus tortor. Duis mattis egestas metus.,7/12/2016,3/2/2018
10,Shipping,Active,Customer,549 de Verrazano,Boucherville,J4B7W2,Canada,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",8/25/2016,5/8/2018
11,Shipping,Active,Building,2000 Boulevard Lebourgneuf,400,Quebec,G2K0B6,Canada,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",6/3/2017,6/19/2018
12,Billing,Active,Customer,2525 boul. Laurier,Quebec,G1V4H6,Canada,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",5/29/2017,10/18/2018
13,Home,Active,Customer,5 Place Ville Marie,1700,Montreal,H3B0B3,Canada,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,11/21/2016,7/14/2018
14,Business,Active,Customer,1 American Road,Dearborn,MI,48126,United States,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,8/6/2017,12/8/2018
15,Shipping,Active,Building,208 S. Akard Street,Dallas,TX,75202,United States,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,11/14/2017,10/16/2018
16,Home,Inactive,Building,1 CVS Drive,Woonsocket,RI,02895,United States,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,12/24/2016,11/18/2018
17,Shipping,Active,Customer,5959 Las Colinas Blvd,Irving,TX,75039,United States,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2/5/2019,2/5/2019
18,Shipping,Active,Customer,2100 SE 5th St,Bentonville,AR,72712,United States,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,9/2/2017,10/21/2018
19,Billing,Active,Building,3555 Farnam St,Omaha,NE,68131,United States,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",9/23/2017,10/4/2018
20,Business,Active,Customer,801 Cherry St,3500,Fort Worth,TX,76102,United States,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",12/26/2018,3/27/2018
21,Shipping,Active,Building,1908 Colonel Sam Dr,Oshawa,ON,L1H8P7,Canada,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,2/27/2018,2/15/2019
22,Home,Active,Customer,29 Manufacturers Hill,8,Lazaro Cardenas,40160,Mexico,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",12/23/2018,2/2/2019
23,Home,Active,Customer,214 Warrior Circle,12,Elmira,14905,United States,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1/20/2019,12/13/2018
24,Shipping,Active,Customer,85272 Shoshone Place,51,Envigado,055428,Colombia,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",10/20/2017,11/28/2018
25,Business,Active,Customer,77 Arapahoe Park,38,Des Moines,50320,United States,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,3/25/2017,4/22/2018
26,Shipping,Active,Building,3 Pearson Avenue,90,Boulder,80305,United States,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",8/25/2016,3/28/2018
27,Home,Active,Building,35831 Norway Maple Pass,52,Ajax,L1Z,Canada,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",10/8/2016,3/10/2019
28,Billing,Active,Building,140 Cordelia Plaza,86,Macamic,V6N,Canada,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,11/29/2016,12/21/2018
29,Business,Inactive,Customer,35 Oakridge Alley,97,Huntsville,35895,United States,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,7/27/2018,2/22/2019
30,Shipping,Active,Customer,637 Northridge Drive,97,Tunja,150009,Colombia,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",2/8/2018,7/17/2018
31,Home,Inactive,Customer,207 Canary Street,54,Corozal,705039,Colombia,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,12/26/2018,3/26/2018
32,Business,Active,Customer,845 Rowland Alley,32,Corpus Christi,78410,United States,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",5/7/2016,8/1/2018
33,Business,Active,Customer,43418 Brentwood Road,89,Washington,20575,United States,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,11/11/2016,11/25/2018
34,Shipping,Active,Building,999 Warner Drive,60,Fort Smith,72905,United States,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1/11/2017,12/7/2018
35,Home,Active,Customer,4 Main Court,22,Pasadena,91186,United States,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,3/17/2017,7/17/2018
36,Business,Active,Building,1 Kropf Junction,71,New-Richmond,J7R,Canada,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",5/8/2018,2/10/2019
37,Billing,Active,Customer,1 Kensington Center,95,Brooklyn,11215,United States,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,3/6/2017,4/11/2018
38,Home,Active,Customer,86 Mallory Junction,90,Windsor,J1S,Canada,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1/7/2018,12/24/2018
39,Business,Active,Customer,09710 Holmberg Way,36,Albanel,G8M,Canada,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",6/8/2017,1/7/2019
40,Shipping,Active,Customer,37 Fieldstone Point,55,Pivijay,477058,Colombia,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",12/24/2016,9/28/2018
41,Business,Active,Building,731 Fulton Trail,58,La Loma,92148,Mexico,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,4/27/2017,4/28/2018
42,Billing,Active,Building,3907 Rigney Parkway,31,Chaparral,735569,Colombia,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,11/8/2016,11/29/2018
43,Shipping,Active,Building,38272 Swallow Drive,40,Lumsden,L7E,Canada,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,5/21/2017,6/17/2018
44,Business,Active,Building,44417 Lerdahl Terrace,63,Giraldo,057047,Colombia,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",2/1/2018,11/16/2018
45,Billing,Active,Customer,5371 Burrows Court,66,La Aurora,48338,Mexico,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,6/27/2017,8/5/2018
46,Shipping,Active,Customer,1 Aberg Crossing,3,Solidaridad,88736,Mexico,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,7/5/2017,4/7/2018
47,Shipping,Active,Building,8232 Prentice Road,88,Valdosta,31605,United States,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",8/15/2018,11/22/2018
48,Home,Active,Customer,1269 Sutherland Point,23,El Tambo,522068,Colombia,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",8/15/2018,7/12/2018
49,Home,Active,Building,55255 Karstens Place,17,Burgeo,N9A,Canada,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,5/22/2016,11/27/2018
