id,lead_id,address_id,admins_id,date_of_creation,business_name,full_name,phone_number,email,business_description,technical_ressource_phone_number,technical_ressource_email,created_at,updated_at
1,,1,129,4/6/2018,Bubblemix,Waylin Dalbey,9487475070,wdalbey0@parallels.com,This is a beautiful description,5752355320,wdalbey0@mysql.com,5/14/2018,2/18/2019
2,,2,60,15/12/2018,Edgewire,Worden Pindar,3509148677,wpindar1@examiner.com,Well...,6287145497,wpindar1@time.com,11/11/2018,2/23/2019
3,,3,63,27/7/2016,Thoughtworks,Alexandra Dene,6498239680,adene2@stumbleupon.com,Dont have time for this.,4836480541,adene2@google.nl,4/1/2016,2/1/2019
4,,4,384,9/6/2018,Viva,Devinne Mordey,8447703550,dmordey3@cbc.ca,Dont have time for this.,7577815789,dmordey3@bigcartel.com,2/26/2018,2/26/2019
5,,5,24,29/4/2018,Meevee,Munmro Westfield,7667929640,mwestfield4@nsw.gov.au,Dont have time for this.,6163841582,mwestfield4@google.de,8/19/2016,2/24/2019
6,,6,126,4/12/2016,Oloo,Dorian Di Biaggi,1133218654,ddi5@archive.org,This is a beautiful description,7837643310,ddi5@ucoz.com,5/1/2018,2/19/2019
7,,7,387,3/3/2017,Thoughtbeat,Zorah Wardle,6444327061,zwardle6@timesonline.co.uk,Dont have time for this.,9333254471,zwardle6@yellowbook.com,5/23/2017,2/18/2019
8,,8,299,4/9/2017,Ntag,Trista Kanzler,6198955815,tkanzler7@zdnet.com,I dont know,2524527504,tkanzler7@uiuc.edu,12/18/2017,3/9/2019
9,,9,315,11/6/2017,Twitterwire,Fifine Nissle,4258357257,fnissle8@squidoo.com,Well...,8402028475,fnissle8@wikipedia.org,9/14/2017,2/14/2019
10,,10,194,28/4/2017,Vitz,Elia Boman,9572482892,eboman9@topsy.com,Dont have time for this.,5932654507,eboman9@feedburner.com,10/6/2018,3/8/2019
11,,11,249,23/3/2018,Eayo,Ethe Bruford,3179423663,ebruforda@nydailynews.com,Not,4071459982,ebruforda@xrea.com,11/25/2017,3/8/2019
12,,12,67,10/6/2017,Linkbuzz,Mord Manifold,2395610715,mmanifoldb@blog.com,Not,4059951100,mmanifoldb@usda.gov,4/26/2018,3/4/2019
13,,13,231,20/7/2017,Kamba,Laney Stailey,4738047643,lstaileyc@marketwatch.com,Well...,5353625851,lstaileyc@nationalgeographic.com,10/13/2016,2/1/2019
14,,14,213,25/7/2016,Tambee,Ker Cardew,2343657874,kcardewd@opensource.org,Not,3837104980,kcardewd@nymag.com,4/22/2017,2/6/2019
15,,15,55,6/1/2018,Aibox,Saloma Annetts,3783818946,sannettse@tuttocitta.it,Not,1748525895,sannettse@vkontakte.ru,10/19/2016,2/6/2019
16,,16,381,23/3/2018,Livefish,Tommi Murby,6388228034,tmurbyf@opensource.org,Well...,2021569392,tmurbyf@google.it,4/18/2017,3/9/2019
17,,17,129,20/3/2016,Edgepulse,Stillman Quested,8078569359,squestedg@pinterest.com,Not,4716547275,squestedg@goo.ne.jp,9/21/2018,3/7/2019
18,,18,483,11/11/2017,Trunyx,Gusella Fieldstone,8964713574,gfieldstoneh@admin.ch,Not,4927054243,gfieldstoneh@apple.com,7/18/2018,3/5/2019
19,,19,151,15/12/2017,Skyble,Laural Worsam,2413550075,lworsami@hao123.com,Well...,6157105113,lworsami@amazon.com,3/13/2016,2/12/2019
20,,20,182,14/3/2017,Rhyzio,Levey De Vries,6245742993,ldej@shareasale.com,I dont know,4327782258,ldej@jigsy.com,9/22/2018,2/23/2019
21,,21,402,23/12/2017,Youtags,Mendel Mullinger,9502441078,mmullingerk@sphinn.com,Dont have time for this.,2868128759,mmullingerk@mapquest.com,8/5/2018,2/18/2019
22,,22,178,1/11/2016,Flashpoint,Kyla Shere,3575926692,ksherel@photobucket.com,Dont have time for this.,7633612914,ksherel@foxnews.com,7/5/2016,2/20/2019
23,,23,119,28/3/2016,Ntags,Cecilia Cayser,3669694086,ccayserm@whitehouse.gov,Dont have time for this.,5664991075,ccayserm@wikispaces.com,2/10/2018,2/20/2019
24,,24,22,26/5/2017,Voolia,Lorens Cluley,2533872966,lcluleyn@goodreads.com,Good description says nothing,6436378450,lcluleyn@princeton.edu,9/15/2017,2/6/2019
25,,25,291,18/8/2016,Oloo,Muire Pucknell,4885789278,mpucknello@pen.io,I dont know,9451979952,mpucknello@paginegialle.it,7/16/2018,2/2/2019
26,,26,475,27/12/2018,Skynoodle,Gardy OTierney,8287480174,gotierneyp@cpanel.net,Not,8189258439,gotierneyp@sina.com.cn,11/26/2016,2/27/2019
27,,27,325,16/5/2016,Yozio,Cathlene Morot,5208396714,cmorotq@google.fr,Well...,1885360038,cmorotq@statcounter.com,9/26/2016,3/12/2019
28,,28,317,1/4/2016,Yakitri,Darcie Hayley,2458142341,dhayleyr@samsung.com,Well...,3852122331,dhayleyr@bravesites.com,9/5/2017,2/17/2019
29,,29,235,6/3/2019,Babblestorm,Ellynn Petofi,2318564376,epetofis@psu.edu,Good description says nothing,3181683568,epetofis@tiny.cc,5/24/2016,2/9/2019
30,,30,493,17/4/2017,Tazz,Feliks Child,2116891163,fchildt@businessinsider.com,Well...,1603270932,fchildt@dailymotion.com,1/27/2017,3/2/2019
31,,31,84,12/10/2017,Blogtags,Lezley Digman,9663753223,ldigmanu@noaa.gov,Well...,4874426017,ldigmanu@sourceforge.net,7/9/2017,3/3/2019
32,,32,153,23/2/2018,Fivebridge,Ayn Cabrer,6032011883,acabrerv@multiply.com,Dont have time for this.,7138771843,acabrerv@umn.edu,8/19/2017,2/26/2019
33,,33,321,26/3/2016,Tazzy,Gabby Fewless,9816486032,gfewlessw@discovery.com,Well...,4892101739,gfewlessw@github.io,6/3/2016,2/8/2019
34,,34,298,3/4/2017,Twitterbeat,Fionna Feldbau,1277054206,ffeldbaux@accuweather.com,Not,9655088732,ffeldbaux@thetimes.co.uk,8/6/2018,2/4/2019
35,,35,33,3/1/2017,Edgeclub,Lizette Bussen,7593011016,lbusseny@webs.com,I dont know,1705314431,lbusseny@imdb.com,9/22/2017,2/5/2019
36,,36,27,14/8/2017,Centizu,Sandy Di Biagi,7534568716,sdiz@un.org,Well...,1239393708,sdiz@istockphoto.com,9/9/2017,3/5/2019
37,,37,106,11/12/2016,Photospace,Celinda Castana,7852772165,ccastana10@nhs.uk,This is a beautiful description,6383066017,ccastana10@addthis.com,7/24/2018,3/2/2019
38,,38,176,1/3/2017,BlogXS,Arthur Orgill,4708155917,aorgill11@webmd.com,This is a beautiful description,7652063241,aorgill11@wufoo.com,9/7/2017,3/5/2019
39,,39,463,9/7/2016,Riffwire,Jada McGillivrie,2847418500,jmcgillivrie12@bravesites.com,Not,8421376827,jmcgillivrie12@blinklist.com,4/30/2017,2/12/2019
40,,40,71,17/3/2016,Topiclounge,Birgit Sheringham,2748317804,bsheringham13@biblegateway.com,Not,3476747459,bsheringham13@bbc.co.uk,12/1/2016,2/24/2019
41,,41,148,29/1/2019,Jabbercube,Aubine Jerke,9776449570,ajerke14@flickr.com,Good description says nothing,8113981505,ajerke14@flavors.me,3/19/2018,2/25/2019
42,,42,285,20/5/2016,Feedspan,Hildegaard Gilhespy,8941262956,hgilhespy15@desdev.cn,Good description says nothing,4484589943,hgilhespy15@jimdo.com,4/18/2017,2/4/2019
43,,43,444,21/4/2017,Jamia,Esma Pischoff,9989358237,epischoff16@time.com,I dont know,1287820762,epischoff16@army.mil,10/19/2018,3/7/2019
44,,44,106,26/5/2017,Avaveo,Garrett Veneur,3262038108,gveneur17@vimeo.com,Not,7314239720,gveneur17@theatlantic.com,8/10/2017,2/21/2019
45,,45,275,30/4/2017,Zoomcast,Marilin Postins,9788311243,mpostins18@mac.com,Good description says nothing,2743990256,mpostins18@yale.edu,10/11/2017,2/24/2019
