id,created_at,updated_at,full_name,phone_number,email,business_name,building_type,quality,elevator_price,installation_price,number_elevator,total_price,number_appartment,number_floor,number_basement,number_parking_space,maximum_occupant_per_floor,hour_of_activity,number_of_elevators_cage,number_of_trade_market,number_of_distinct_business
1,9/7/2018,4/8/2018,Wylma Sabbins,1721203010,wsabbins0@wordpress.org,Twitterbridge,Residential,Standard,26563,4198,24,29024,361,65,2,0,0,0,0,0,0
2,15/9/2017,25/11/2018,Sarena Stuckley,2997110461,sstuckley1@youtube.com,Topdrive,Commercial,Premium,17706,3716,47,46393,427,23,4,0,0,0,0,0,0
3,20/7/2018,27/10/2018,Gwyneth Lamlin,4656843134,glamlin2@imgur.com,Devpoint,Corporate,Standard,33178,2767,17,16444,292,86,3,0,0,0,0,0,0
4,18/6/2018,27/6/2018,Emlyn Kidds,6216479694,ekidds3@goo.gl,Skilith,Commercial,Premium,31568,1048,33,23225,227,68,1,0,0,0,0,0,0
5,26/5/2018,30/8/2018,Silas Yendall,6709843258,syendall4@redcross.org,Wordify,Hybrid,Standard,48953,1941,25,9721,141,49,2,0,0,0,0,0,0
6,23/7/2018,27/8/2018,Ebba Goddman,5631648698,egoddman5@blogger.com,Browsetype,Commercial,Premium,32051,2757,34,39586,355,73,4,0,0,0,0,0,0
7,7/11/2018,10/3/2019,Elke Whatson,8436903216,ewhatson6@cnet.com,Thoughtsphere,Hybrid,Premium,38501,4743,47,21114,377,20,4,0,0,0,0,0,0
8,23/9/2017,10/10/2018,Ange Wolfendell,3288674165,awolfendell7@so-net.ne.jp,Fivechat,Corporate,Premium,2807,889,32,34936,221,8,2,0,0,0,0,0,0
9,8/6/2017,5/5/2018,Hogan Oxby,9337946878,hoxby8@unicef.org,Dabtype,Corporate,Standard,12976,657,47,44368,250,89,5,0,0,0,0,0,0
10,1/11/2018,22/12/2018,Hubie Isaacs,5645981292,hisaacs9@desdev.cn,Skivee,Corporate,Excelium,23621,1934,5,50791,104,9,5,0,0,0,0,0,0
11,22/6/2017,30/8/2018,Agnola Blewis,9555590758,ablewisa@whitehouse.gov,Rhyloo,Residential,Excelium,25783,2198,47,35680,2,7,3,0,0,0,0,0,0
12,6/8/2017,9/8/2018,Melba Dorn,7865983092,mdornb@over-blog.com,Photolist,Commercial,Standard,28129,2734,2,24315,399,98,2,0,0,0,0,0,0
13,11/6/2017,26/11/2018,Ad Serrurier,5987951189,aserrurierc@columbia.edu,Rhynoodle,Residential,Standard,6764,4554,31,7407,251,65,5,0,0,0,0,0,0
14,15/8/2017,20/1/2019,Moise Merrgan,5293805023,mmerrgand@devhub.com,Jamia,Residential,Standard,44656,4413,16,54034,44,95,0,0,0,0,0,0,0
15,24/5/2017,4/9/2018,Kary Ludlem,8465109489,kludleme@1und1.de,Realblab,Residential,Excelium,9169,4551,3,36190,461,54,1,0,0,0,0,0,0
16,21/3/2018,23/9/2018,Grier Argyle,4393459303,gargylef@amazon.com,Realblab,Hybrid,Premium,12771,631,28,40809,278,64,3,0,0,0,0,0,0
17,17/5/2018,12/1/2019,Estevan McLanachan,9528960709,emclanachang@usa.gov,Meevee,Corporate,Premium,28723,1837,27,33925,239,9,5,0,0,0,0,0,0
18,27/4/2017,14/10/2018,Halette Brosoli,8912766658,hbrosolih@ow.ly,Skyba,Hybrid,Excelium,2815,3099,21,46094,223,35,0,0,0,0,0,0,0
19,27/7/2017,7/9/2018,Xylia Carreck,8934962817,xcarrecki@mit.edu,Zoomdog,Commercial,Standard,25497,1892,35,6083,412,48,2,0,0,0,0,0,0
20,21/2/2019,17/2/2019,Pail Bestwick,8913883124,pbestwickj@bloglovin.com,Latz,Residential,Premium,28508,950,1,51420,468,42,0,0,0,0,0,0,0
